09:00:29.821 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_18-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_17-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2013_01_05-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_04-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_15-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_06-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_03_28-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_16-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_03-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_07-gui-errors.log
09:00:29.822 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_02-gui-errors.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_02-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_17-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_03_28-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_07-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2013_01_05-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_06-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_03-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_18-gui-access.log
09:00:29.823 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_16-gui-access.log
09:00:29.824 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_04-gui-access.log
09:00:29.824 INFO   [Rollover] org.mortbay.util.RolloverFileOutputStream.removeOldFiles(RolloverFileOutputStream.java:209) >03> Log age 2014_04_15-gui-access.log
